1000,16557
1025,16838
1050,18048
1075,23892
1100,22038
1125,20391
1150,20533
1175,23132
1200,21056
1225,23173
1250,21609
1275,22823
1300,25054
1325,24866
1350,24360
1375,25551
1400,25540
1425,26564
1450,27991
1475,26760
1500,28685
1525,28120
1550,29387
1575,29613
1600,29148
1625,68336
1650,30102
1675,36561
1700,31878
1725,31982
1750,32735
1775,33178
1800,32678
1825,33969
1850,34980
1875,37779
1900,35559
1925,45281
1950,39597
1975,48475
2000,51543
2025,52425
2050,48194
2075,39005
2100,50723
2125,46708
2150,46879
2175,53011
2200,64260
2225,49335
2250,61129
2275,46582
2300,71142
2325,47715
2350,47657
2375,46149
2400,47303
2425,46544
2450,46248
2475,53874
2500,62759
2525,54239
2550,48286
2575,47945
2600,55951
2625,164329
2650,52506
2675,77655
2700,60963
2725,53077
2750,53804
2775,71396
2800,82530
2825,64405
2850,65517
2875,59289
2900,59819
2925,97306
2950,57823
2975,58670
3000,61806
3025,90038
3050,79610
3075,89315
3100,81871
3125,115646
3150,157780
3175,82716
3200,69240
3225,61439
3250,60596
3275,68563
3300,65425
3325,71096
3350,104854
3375,76136
3400,98370
3425,80253
3450,70891
3475,76078
3500,192187
3525,72737
3550,83705
3575,75007
3600,70694
3625,86564
3650,107509
3675,82074
3700,85158
3725,123335
3750,94807
3775,132149
3800,85974
3825,91718
3850,84329
3875,169776
3900,75524
3925,77640
3950,80807
3975,100971
4000,73918
4025,80474
4050,77738
4075,86293
4100,77955
4125,79571
4150,90141
4175,106423
4200,141198
4225,149019
4250,99135
4275,90550
4300,87170
4325,92562
4350,83537
4375,81759
4400,83888
4425,87515
4450,83777
4475,106211
4500,100168
4525,87973
4550,85568
4575,111052
4600,136415
4625,123397
4650,115916
4675,203711
4700,116142
4725,116278
4750,106490
4775,91028
4800,120471
4825,141641
4850,148570
4875,100453
4900,92369
4925,96744
4950,185974
4975,222815
5000,163854
5025,239384
5050,182709
5075,118240
5100,137756
5125,106206
5150,127163
5175,177825
5200,140467
5225,118911
5250,127116
5275,103830
5300,109321
5325,102952
5350,125395
5375,147700
5400,260211
5425,142898
5450,208582
5475,149908
5500,371845
5525,165497
5550,191900
5575,133645
5600,118121
5625,107519
5650,109695
5675,152572
5700,106439
5725,126075
5750,140766
5775,111119
5800,112366
5825,120773
5850,123854
5875,152942
5900,117283
5925,123876
5950,131032
5975,177914
6000,180476
6025,149904
6050,141855
6075,223713
6100,138828
6125,133374
6150,132585
6175,137126
6200,135383
6225,143975
6250,148639
6275,144204
6300,459522
6325,141719
6350,143565
6375,125817
6400,166734
6425,150793
6450,179489
6475,171828
6500,143561
6525,144243
6550,280843
6575,167060
6600,149654
6625,197284
6650,147031
6675,353976
6700,452374
6725,208356
6750,457979
6775,373404
6800,204222
6825,236788
6850,187911
6875,292869
6900,354936
6925,173151
6950,195270
6975,187283
7000,163416
7025,304820
7050,248127
7075,296463
7100,361073
7125,243977
7150,565465
7175,192800
7200,216505
7225,258669
7250,289884
7275,323019
7300,231011
7325,192359
7350,217221
7375,258859
7400,222055
7425,268898
7450,220900
7475,347799
7500,487434
7525,303417
7550,238334
7575,307149
7600,214372
7625,239782
7650,206651
7675,361657
7700,377059
7725,222693
7750,234439
7775,217626
7800,249534
7825,267916
7850,296090
7875,316115
7900,613169
7925,255053
7950,270192
7975,303022
8000,267599
8025,319371
8050,261877
8075,629161
8100,443094
8125,287171
8150,372178
8175,341539
8200,340657
8225,321657
8250,335792
8275,249231
8300,817133
8325,381861
8350,362742
8375,382974
8400,322075
8425,330369
8450,389195
8475,662495
8500,489027
8525,346196
8550,345144
8575,346180
8600,353433
8625,392583
8650,352645
8675,514455
8700,603128
8725,376816
8750,398453
8775,454473
8800,523613
8825,558528
8850,410374
8875,408284
8900,331277
8925,419147
8950,433196
8975,523199
9000,438288
9025,469918
9050,462150
9075,587606
9100,286233
9125,473995
9150,509209
9175,476999
9200,447837
9225,502506
9250,534103
9275,530595
9300,723895
9325,565542
9350,513829
9375,546700
9400,664974
9425,550897
9450,590150
9475,661636
9500,747821
9525,623952
9550,593922
9575,649367
9600,595373
9625,550872
9650,655075
9675,483944
9700,377998
9725,700170
9750,640239
9775,625423
9800,591872
9825,641849
9850,702953
9875,424097
9900,398278
9925,773050
9950,699596
9975,674901
10000,686177
